@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
9316,'2019/09/19 12:27:43:414',43,500.855347,344.238342,41.432949,478.291412,358.574829,40.780346,453.193695,363.171509,41.332722,408.227814,365.220947,33.250404,385.592926,356.435791,35.308357,0,0,0
9317,'2019/09/19 12:27:43:464',43,498.939911,342.060364,42.069744,473.679199,357.132385,41.805889,447.524994,360.593658,42.298538,401.870636,365.128479,34.699818,380.625641,354.466064,36.475861,0,0,0
9318,'2019/09/19 12:27:43:514',43,497.784607,340.88092,42.121437,471.267181,357.711334,41.815968,444.588379,360.985657,42.066875,399.877533,365.993103,34.97073,379.074768,354.915558,36.658497,0,0,0
9319,'2019/09/19 12:27:43:562',43,496.46814,339.590698,42.094345,470.072754,357.995117,41.682911,443.535797,361.207031,41.932785,399.078125,366.389893,35.002361,378.630585,355.087891,36.680767,0,0,0
9320,'2019/09/19 12:27:43:613',43,494.325928,337.706696,42.032631,467.701721,356.806519,41.335316,441.19104,359.707458,41.529499,397.430817,363.004364,34.522526,377.503326,351.776428,36.300678,0,0,0
9321,'2019/09/19 12:27:43:662',43,489.02832,331.730225,42.23484,457.745361,355.079773,41.673832,430.846771,357.128174,41.653091,388.867767,359.708435,34.951462,370.251404,347.652954,36.605228,0,0,0
9322,'2019/09/19 12:27:43:713',43,485.090942,326.116394,42.11636,449.075287,349.848206,41.294643,422.098694,351.098236,41.160244,380.054352,352.604523,35.417469,363.538605,340.102814,37.260128,0,0,0
9323,'2019/09/19 12:27:43:763',43,475.249634,319.777344,41.13937,437.987488,344.865295,39.968483,412.120605,345.863037,39.960499,371.168701,346.305664,34.675457,355.269775,333.991394,36.676579,0,0,0
9324,'2019/09/19 12:27:43:812',43,465.170502,315.3125,40.43832,431.125854,340.12262,38.505527,405.640564,341.356506,38.361465,366.489624,339.919006,33.214661,349.681213,328.829468,35.52417,0,0,0
9325,'2019/09/19 12:27:43:866',43,442.7146,306.447021,40.276478,415.293091,328.08667,37.692223,390.203186,329.640747,37.215782,353.917877,328.886353,32.551285,335.36203,318.815552,34.941055,0,0,0
